Last name,First name,Age,Gender,Address,Email,Telephone,Contact for future races,How did you hear about race,Emergency contact name,Emergency contact number
Baker,Kelsey,75,female,207 Chickpeas Ln. Weymouth MA,whooshes@hotmail.com,606-5803,no,,Anna Bailey,376-8271
Talley,Kent,81,male,,repository@gmail.com,706-3076,no,church,Francine Gentry,175-6095
Parker,Tiffany,32,female,,wholesalers@gmail.com,655-3383,yes,,Lester Dunn,429-5953
Bender,Matthew,16,male,75 Sleepiest Way Braintree MA,parmesans@hotmail.com,652-5998,yes,school,Leona Bennett,217-9962
Richmond,Mathew,85,male,565 Mnemonics Way Weymouth MA,superintending@hotmail.com,942-1850,yes,a friend,,205-5961
Harper,Opal,20,female,424 Imus Ln. Braintree MA,recursively@hotmail.com,814-4767,no,school,Francisco Coffey,824-6902
Long,Jeremy,42,male,805 Modestys Pkwy. Hanover MA,,218-1353,no,came last year,Tara Foreman,339-6032
Gillespie,Marta,82,female,406 Downstairs Way Braintree MA,musicians@hotmail.com,729-8951,yes,,Nikki Bailey,572-5222
Cooper,Beatriz,56,female,133 Riffs St. Quincy MA,reapply@gmail.com,174-3543,no,,Terrance Head,267-2642
Vincent,,27,male,70 Napkins St. Weymouth MA,veterinaries@gmail.com,631-5961,no,came last year,Hope Love,713-3452
Dodson,Sidney,47,male,671 Theoretically St. Weymouth MA,poised@gmail.com,501-6323,no,a friend,Jimmie Mcdowell,367-9561
Deleon,Beulah,3,female,276 Hearings Dr. Weymouth MA,crick@gmail.com,540-6532,no,church,Benjamin Rowe,789-6013
Mueller,Felix,62,male,174 Rhododendrons St. Norwell MA,dicker@gmail.com,787-4487,yes,,Juliet Bishop,266-4814
Mendez,Brian,86,male,322 Comfort Way Norwell MA,remoteness@hotmail.com,923-6096,yes,,Hector Gross,971-2638
Mccullough,Jeannette,24,female,768 Monkeying Ln. Hingham MA,samovars@gmail.com,902-7407,yes,came last year,Carl Barry,
Gilbert,Milton,27,male,951 Manchesters St. Hingham MA,sleek@gmail.com,955-4133,yes,school,Alfred Mooney,992-7346
Ellison,Abby,49,female,485 Gazebo Way Hingham MA,maos@hotmail.com,618-8692,yes,came last year,Randy Hale,168-4479
Kelly,Lynn,96,female,568 Twinned Dr. Norwell MA,footlockers@gmail.com,188-5883,yes,came last year,Javier Boone,481-4513
Herring,Daryl,88,male,287 Blondie Pkwy. Braintree MA,loosenesss@gmail.com,194-6545,yes,a friend,Jessie Watts,633-4201
Holt,Kelly,76,male,958 Ybs Pkwy. Norwell MA,hogsheads@hotmail.com,955-4392,no,,,593-7616
Le,Chester,20,male,942 Telephone Ln. Norwell MA,moonshots@gmail.com,131-4933,no,church,Ray Becker,725-1027
Stuart,Delia,15,female,510 Overtaken St. Hingham MA,stalemates@gmail.com,738-4543,yes,,Floyd Castillo,590-4694
Watson,Herman,73,male,582 Submissions Way Weymouth MA,soothsayers@hotmail.com,397-1738,yes,a friend,,854-4224
Farley,Daniel,75,male,17 Admit St. Hanover MA,heisted@hotmail.com,585-5612,no,,Leo Hester,445-2589
Mitchell,Douglas,65,male,934 Yakima Ln. Weymouth MA,confessions@hotmail.com,348-5830,yes,church,Christina Pacheco,903-4926
Long,Gwendolyn,74,female,171 Polygamys Pkwy. Norwell MA,overseers@hotmail.com,645-4132,no,,Joe Barry,694-5315
Compton,Sondra,46,female,322 Valparaiso Ln. Hingham MA,enigma@hotmail.com,345-8884,no,church,Lorrie Olson,572-1600
Chang,Gwen,12,female,421 Andreas St. Braintree MA,acquirable@hotmail.com,182-7644,yes,,Sallie Hudson,
